author,text,published_at,sentiment
@SherlyHOSHERLY-wg4mj,I just got here,2024-06-10T08:57:56Z,0.0
@zhastephanie5179,I just got in/I just got here  我到了 call it a night 睡了   wash up 洗洗,2024-05-29T03:28:22Z,0.0
@CT-rr1no,"为了说明 I arrived 完全ok
https://youtu.be/q8gapMSkrm4?si=Omt99gGYCqyyxamX&t=6
https://youtu.be/Mrc8WWaGh_8?si=etCGB6IEdG_9G4Kg&t=268
https://youtu.be/qrh_aqsE-wU?si=TZdRfSVFE0SPPq5c&t=3383",2024-03-25T07:16:01Z,0.0
@CT-rr1no,不能说和不必说还是不太一样,2024-03-25T07:08:44Z,0.0
@danielli9167,"arrive is more used in writing, while got is more oral form.",2024-03-13T22:27:12Z,0.0
@zhenminliu,Learned something again. Thanks,2024-02-26T15:19:03Z,0.4404
@MrLue9,找1000块去十块十块 这么说？,2024-02-03T09:09:50Z,0.0
@johnlee1850,Or you can say I’m here.,2024-01-23T06:31:07Z,0.0
@coolsoi7925,I arrived.  不是不能說， 只是不夠口語化！ 絕對冇問題！,2023-12-30T02:21:36Z,0.0
@ikaterpillar,视频中的使用翻译成“我刚来到”更贴切，不是”我到了“的意思，只是我的理解。,2023-12-29T16:35:32Z,0.0
@waynehan4142,应该分不同场合，比如两个人约好在某地会合，一个人先到了，text给另外一个人，那没有比I arrived 更合适准确的了。,2023-11-18T02:17:30Z,0.0
@slfanta,"你太厉害了 Maggie,,,我觉得你有天赋 Orz",2023-08-16T21:47:39Z,0.0
@jasonz2964,Chinese mainlander. Period.,2023-08-16T20:00:00Z,0.0
@yhc1683,WRONG WRONG WRONG,2023-07-30T01:49:38Z,-0.8519
@user-gm1gx6sj3q,抗洋枪学的吧,2023-07-29T03:50:12Z,0.0
@YouYou-p9v,为什么中国学生普遍来说英语不好，就是因为有很多象这种水平低还老爱卖乖的老师们天天告诉他她们这不能说，那不能说，吓的都不敢开口。这个丫头说的那么多不能说的，我生活工作中都经常说，根本不会有任何问题。让入门的学生来关注这些东西的老师不是蠢就是坏。,2023-07-27T05:28:44Z,0.0
@yuqin405,You should mention you married a white guy.,2023-07-25T01:06:48Z,0.0
